year,race,driver,team,fastest_lap,avg_lap,pitstops,track_affinity,team_strength,momentum,start_position,air_temp,humidity,rain,home_race,position
2023,Miami Grand Prix,DEV,AlphaTauri,91.562,93.149481,0,0.1,0.4,0.09999999000000101,15.0,27.11741935483871,59.42580645161291,0.0,0,18.0
2023,Miami Grand Prix,PIA,McLaren,92.006,93.672519,0,0.1,0.75,0.09999999000000101,19.0,27.11741935483871,59.42580645161291,0.0,0,19.0
2023,Miami Grand Prix,SAR,Williams,92.384,93.378679,0,0.1,0.5,0.09999999000000101,20.0,27.11741935483871,59.42580645161291,0.0,0,20.0
2023,Monaco Grand Prix,VER,Red Bull Racing,76.604,77.40702,0,0.1,0.5,0.599999640000216,1.0,25.06590909090909,45.86363636363637,0.14772727272727273,0,1.0
2023,Monaco Grand Prix,GAS,Alpine,75.831,77.986734,1,0.1,0.7,0.09999999000000101,7.0,25.06590909090909,45.86363636363637,0.14772727272727273,0,7.0
2023,Monaco Grand Prix,PER,Red Bull Racing,76.269,78.369644,2,0.1,0.5,0.09999999000000101,20.0,25.06590909090909,45.86363636363637,0.14772727272727273,0,16.0
2023,Monaco Grand Prix,ALO,Aston Martin,76.674,77.61012,0,0.1,0.8,0.21428566836735677,2.0,25.06590909090909,45.86363636363637,0.14772727272727273,0,2.0
2023,Monaco Grand Prix,LEC,Ferrari,75.773,77.924571,1,0.1,0.85,0.16666663888889352,6.0,25.06590909090909,45.86363636363637,0.14772727272727273,0,6.0
2023,Monaco Grand Prix,STR,Aston Martin,77.769,79.237021,0,0.1,0.8,0.09999999000000101,14.0,25.06590909090909,45.86363636363637,0.14772727272727273,0,20.0
2023,Monaco Grand Prix,SAR,Williams,77.302,78.988717,1,0.1,0.5,0.09999999000000101,16.0,25.06590909090909,45.86363636363637,0.14772727272727273,0,18.0
2023,Monaco Grand Prix,MAG,Haas F1 Team,78.351,79.332041,0,0.1,0.5,0.09999999000000101,17.0,25.06590909090909,45.86363636363637,0.14772727272727273,0,19.0
2023,Monaco Grand Prix,DEV,AlphaTauri,77.561,79.152937,0,0.1,0.4,0.09999999000000101,12.0,25.06590909090909,45.86363636363637,0.14772727272727273,0,12.0
2023,Monaco Grand Prix,TSU,AlphaTauri,77.68,78.616937,0,0.1,0.4,0.09999999000000101,9.0,25.06590909090909,45.86363636363637,0.14772727272727273,0,15.0
2023,Monaco Grand Prix,ALB,Williams,76.672,79.013533,0,0.1,0.5,0.09999999000000101,13.0,25.06590909090909,45.86363636363637,0.14772727272727273,0,14.0
2023,Monaco Grand Prix,ZHO,Alfa Romeo,76.926,78.843088,1,0.1,0.4,0.09999999000000101,19.0,25.06590909090909,45.86363636363637,0.14772727272727273,0,13.0
2023,Monaco Grand Prix,HUL,Haas F1 Team,76.991,78.700953,1,0.1,0.5,0.09999999000000101,18.0,25.06590909090909,45.86363636363637,0.14772727272727273,0,17.0
2023,Monaco Grand Prix,OCO,Alpine,76.528,77.844755,1,0.1,0.7,0.09999999000000101,3.0,25.06590909090909,45.86363636363637,0.14772727272727273,0,3.0
2023,Monaco Grand Prix,NOR,McLaren,77.844,78.712,0,0.1,0.75,0.09999999000000101,10.0,25.06590909090909,45.86363636363637,0.14772727272727273,0,9.0
2023,Monaco Grand Prix,HAM,Mercedes,75.65,77.847551,1,0.1,0.9,0.2727271983471277,5.0,25.06590909090909,45.86363636363637,0.14772727272727273,0,4.0
2023,Monaco Grand Prix,SAI,Ferrari,76.449,77.873673,1,0.1,0.85,0.11111109876543349,4.0,25.06590909090909,45.86363636363637,0.14772727272727273,0,8.0
2023,Monaco Grand Prix,RUS,Mercedes,76.798,77.988081,0,0.1,0.9,0.29999991000002696,8.0,25.06590909090909,45.86363636363637,0.14772727272727273,0,5.0
2023,Monaco Grand Prix,BOT,Alfa Romeo,77.824,79.302755,0,0.1,0.4,0.09999999000000101,15.0,25.06590909090909,45.86363636363637,0.14772727272727273,0,11.0
2023,Monaco Grand Prix,PIA,McLaren,77.513,78.764808,0,0.1,0.75,0.09999999000000101,11.0,25.06590909090909,45.86363636363637,0.14772727272727273,0,10.0
2023,Spanish Grand Prix,VER,Red Bull Racing,76.33,79.207459,0,0.1,0.5,0.599999640000216,1.0,22.674025974025977,63.077922077922075,0.0,0,1.0
2023,Spanish Grand Prix,HAM,Mercedes,76.676,79.4767,0,0.1,0.9,0.2727271983471277,4.0,22.674025974025977,63.077922077922075,0.0,0,2.0
2023,Spanish Grand Prix,RUS,Mercedes,77.875,79.6111,0,0.1,0.9,0.29999991000002696,12.0,22.674025974025977,63.077922077922075,0.0,0,3.0
2023,Spanish Grand Prix,PER,Red Bull Racing,76.666,79.584086,0,0.1,0.5,0.09999999000000101,11.0,22.674025974025977,63.077922077922075,0.0,0,4.0
2023,Spanish Grand Prix,SAI,Ferrari,78.403,79.81375,0,0.1,0.85,0.11111109876543349,2.0,22.674025974025977,63.077922077922075,0.0,0,5.0
2023,Spanish Grand Prix,STR,Aston Martin,78.722,80.039916,0,0.1,0.8,0.09999999000000101,5.0,22.674025974025977,63.077922077922075,0.0,0,6.0
2023,Spanish Grand Prix,ALO,Aston Martin,78.083,80.029775,0,0.1,0.8,0.21428566836735677,8.0,22.674025974025977,63.077922077922075,0.0,0,7.0
2023,Spanish Grand Prix,OCO,Alpine,78.946,80.071741,0,0.1,0.7,0.09999999000000101,6.0,22.674025974025977,63.077922077922075,0.0,0,8.0
2023,Spanish Grand Prix,ZHO,Alfa Romeo,78.753,80.013947,0,0.1,0.4,0.09999999000000101,13.0,22.674025974025977,63.077922077922075,0.0,0,9.0
2023,Spanish Grand Prix,GAS,Alpine,78.375,79.950714,0,0.1,0.7,0.09999999000000101,10.0,22.674025974025977,63.077922077922075,0.0,0,10.0
2023,Spanish Grand Prix,LEC,Ferrari,78.357,79.892203,0,0.1,0.85,0.16666663888889352,19.0,22.674025974025977,63.077922077922075,0.0,0,11.0
2023,Spanish Grand Prix,TSU,AlphaTauri,78.904,80.05062,0,0.1,0.4,0.09999999000000101,15.0,22.674025974025977,63.077922077922075,0.0,0,12.0
2023,Spanish Grand Prix,PIA,McLaren,78.679,80.177339,0,0.1,0.75,0.09999999000000101,9.0,22.674025974025977,63.077922077922075,0.0,0,13.0
2023,Spanish Grand Prix,DEV,AlphaTauri,78.594,80.135339,0,0.1,0.4,0.09999999000000101,14.0,22.674025974025977,63.077922077922075,0.0,0,14.0
