year,race,driver,predicted_position,probability,final_position,abs_error
2023,Las Vegas Grand Prix,PER,12,18.98,1.0,11.0
2023,Las Vegas Grand Prix,PIA,10,26.29,3.0,7.0
2023,Las Vegas Grand Prix,RIC,14,31.08,12.0,2.0
2023,Las Vegas Grand Prix,RUS,4,56.75,3.0,1.0
2023,Las Vegas Grand Prix,SAI,7,44.17,4.0,3.0
2023,Las Vegas Grand Prix,SAR,16,26.06,6.0,10.0
2023,Las Vegas Grand Prix,STR,6,31.83,2.0,4.0
2023,Las Vegas Grand Prix,TSU,17,37.3,10.0,7.0
2023,Las Vegas Grand Prix,VER,1,89.0,1.0,0.0
2023,Las Vegas Grand Prix,ZHO,15,40.84,7.0,8.0
2023,Mexico City Grand Prix,ALB,9,37.1,7.0,2.0
2023,Mexico City Grand Prix,ALO,17,47.25,14.0,3.0
2023,Mexico City Grand Prix,BOT,15,31.85,9.0,6.0
2023,Mexico City Grand Prix,GAS,10,22.81,6.0,4.0
2023,Mexico City Grand Prix,HAM,2,51.43,2.0,0.0
2023,Mexico City Grand Prix,HUL,12,35.05,8.0,4.0
2023,Mexico City Grand Prix,LEC,3,45.69,1.0,2.0
2023,Mexico City Grand Prix,MAG,16,40.86,12.0,4.0
2023,Mexico City Grand Prix,NOR,5,35.6,5.0,0.0
2023,Mexico City Grand Prix,OCO,10,50.06,10.0,0.0
2023,Mexico City Grand Prix,PIA,8,34.68,5.0,3.0
2023,Mexico City Grand Prix,RIC,16,25.09,4.0,12.0
2023,Mexico City Grand Prix,RUS,6,48.25,5.0,1.0
2023,Mexico City Grand Prix,SAI,8,31.42,2.0,6.0
2023,Mexico City Grand Prix,SAR,12,37.32,12.0,0.0
2023,Mexico City Grand Prix,STR,14,33.79,11.0,3.0
2023,Mexico City Grand Prix,TSU,16,24.92,8.0,8.0
2023,Mexico City Grand Prix,VER,1,93.72,1.0,0.0
2023,Mexico City Grand Prix,ZHO,16,36.23,10.0,6.0
2023,Miami Grand Prix,ALB,14,23.28,8.0,6.0
2023,Miami Grand Prix,ALO,3,50.87,2.0,1.0
2023,Miami Grand Prix,BOT,11,18.03,8.0,3.0
2023,Miami Grand Prix,DEV,18,16.52,17.0,1.0
2023,Miami Grand Prix,GAS,8,27.16,4.0,4.0
2023,Miami Grand Prix,HAM,6,42.35,6.0,0.0
2023,Miami Grand Prix,HUL,14,16.06,5.0,9.0
2023,Miami Grand Prix,LEC,7,38.56,6.0,1.0
