year,race,driver,position,probability
2025,Spanish Grand Prix,NOR,13,1.07
2025,Spanish Grand Prix,NOR,14,0.2
2025,Spanish Grand Prix,NOR,15,0.69
2025,Spanish Grand Prix,NOR,16,0.24
2025,Spanish Grand Prix,NOR,17,1.88
2025,Spanish Grand Prix,NOR,18,1.96
2025,Spanish Grand Prix,NOR,19,0.23
2025,Spanish Grand Prix,NOR,20,1.37
2025,Spanish Grand Prix,COL,1,0.01
2025,Spanish Grand Prix,COL,2,0.33
2025,Spanish Grand Prix,COL,3,0.23
2025,Spanish Grand Prix,COL,4,0.55
2025,Spanish Grand Prix,COL,5,2.22
2025,Spanish Grand Prix,COL,6,0.47
2025,Spanish Grand Prix,COL,7,2.01
2025,Spanish Grand Prix,COL,8,4.64
2025,Spanish Grand Prix,COL,9,2.74
2025,Spanish Grand Prix,COL,10,4.59
2025,Spanish Grand Prix,COL,11,3.34
2025,Spanish Grand Prix,COL,12,5.47
2025,Spanish Grand Prix,COL,13,9.61
2025,Spanish Grand Prix,COL,14,7.2
2025,Spanish Grand Prix,COL,15,16.54
2025,Spanish Grand Prix,COL,16,9.65
2025,Spanish Grand Prix,COL,17,8.64
2025,Spanish Grand Prix,COL,18,6.86
2025,Spanish Grand Prix,COL,19,7.76
2025,Spanish Grand Prix,COL,20,7.15
2025,Spanish Grand Prix,HAM,1,0.34
2025,Spanish Grand Prix,HAM,2,3.93
2025,Spanish Grand Prix,HAM,3,16.77
2025,Spanish Grand Prix,HAM,4,12.34
2025,Spanish Grand Prix,HAM,5,15.37
2025,Spanish Grand Prix,HAM,6,33.86
2025,Spanish Grand Prix,HAM,7,2.91
2025,Spanish Grand Prix,HAM,8,4.06
2025,Spanish Grand Prix,HAM,9,1.92
2025,Spanish Grand Prix,HAM,10,0.99
2025,Spanish Grand Prix,HAM,11,2.22
2025,Spanish Grand Prix,HAM,12,0.94
2025,Spanish Grand Prix,HAM,13,0.13
2025,Spanish Grand Prix,HAM,14,0.12
2025,Spanish Grand Prix,HAM,15,0.25
2025,Spanish Grand Prix,HAM,16,0.05
2025,Spanish Grand Prix,HAM,17,0.37
2025,Spanish Grand Prix,HAM,18,0.88
2025,Spanish Grand Prix,HAM,19,2.19
2025,Spanish Grand Prix,HAM,20,0.37
2025,Spanish Grand Prix,BOR,1,0.04
2025,Spanish Grand Prix,BOR,2,0.21
2025,Spanish Grand Prix,BOR,3,0.46
2025,Spanish Grand Prix,BOR,4,1.17
2025,Spanish Grand Prix,BOR,5,2.58
2025,Spanish Grand Prix,BOR,6,1.3
2025,Spanish Grand Prix,BOR,7,5.05
2025,Spanish Grand Prix,BOR,8,5.17
2025,Spanish Grand Prix,BOR,9,6.32
2025,Spanish Grand Prix,BOR,10,5.8
2025,Spanish Grand Prix,BOR,11,12.77
2025,Spanish Grand Prix,BOR,12,8.56
2025,Spanish Grand Prix,BOR,13,6.43
2025,Spanish Grand Prix,BOR,14,8.08
2025,Spanish Grand Prix,BOR,15,5.11
2025,Spanish Grand Prix,BOR,16,10.5
2025,Spanish Grand Prix,BOR,17,9.3
2025,Spanish Grand Prix,BOR,18,3.85
2025,Spanish Grand Prix,BOR,19,4.59
2025,Spanish Grand Prix,BOR,20,2.73
2025,Spanish Grand Prix,SAI,1,0.19
2025,Spanish Grand Prix,SAI,2,1.64
2025,Spanish Grand Prix,SAI,3,1.33
2025,Spanish Grand Prix,SAI,4,0.99
2025,Spanish Grand Prix,SAI,5,1.97
2025,Spanish Grand Prix,SAI,6,2.52
2025,Spanish Grand Prix,SAI,7,2.45
2025,Spanish Grand Prix,SAI,8,3.22
2025,Spanish Grand Prix,SAI,9,4.29
2025,Spanish Grand Prix,SAI,10,6.28
2025,Spanish Grand Prix,SAI,11,5.26
2025,Spanish Grand Prix,SAI,12,3.52
2025,Spanish Grand Prix,SAI,13,3.64
2025,Spanish Grand Prix,SAI,14,30.24
2025,Spanish Grand Prix,SAI,15,7.02
2025,Spanish Grand Prix,SAI,16,5.98
2025,Spanish Grand Prix,SAI,17,6.43
2025,Spanish Grand Prix,SAI,18,5.21
2025,Spanish Grand Prix,SAI,19,4.87
2025,Spanish Grand Prix,SAI,20,2.96
2025,Spanish Grand Prix,HAD,1,0.08
2025,Spanish Grand Prix,HAD,2,1.06
2025,Spanish Grand Prix,HAD,3,1.69
2025,Spanish Grand Prix,HAD,4,1.89
2025,Spanish Grand Prix,HAD,5,2.99
2025,Spanish Grand Prix,HAD,6,2.28
2025,Spanish Grand Prix,HAD,7,34.34
2025,Spanish Grand Prix,HAD,8,12.52
2025,Spanish Grand Prix,HAD,9,6.56
2025,Spanish Grand Prix,HAD,10,3.95
2025,Spanish Grand Prix,HAD,11,3.95
2025,Spanish Grand Prix,HAD,12,3.98
2025,Spanish Grand Prix,HAD,13,4.64
