year,race,driver,position,probability
2025,Spanish Grand Prix,BOR,19,9.71
2025,Spanish Grand Prix,BOR,20,1.01
2025,Spanish Grand Prix,SAI,1,1.23
2025,Spanish Grand Prix,SAI,2,3.08
2025,Spanish Grand Prix,SAI,3,5.57
2025,Spanish Grand Prix,SAI,4,7.75
2025,Spanish Grand Prix,SAI,5,8.0
2025,Spanish Grand Prix,SAI,6,3.15
2025,Spanish Grand Prix,SAI,7,2.0
2025,Spanish Grand Prix,SAI,8,3.63
2025,Spanish Grand Prix,SAI,9,9.38
2025,Spanish Grand Prix,SAI,10,3.32
2025,Spanish Grand Prix,SAI,11,3.16
2025,Spanish Grand Prix,SAI,12,9.11
2025,Spanish Grand Prix,SAI,13,3.33
2025,Spanish Grand Prix,SAI,14,5.63
2025,Spanish Grand Prix,SAI,15,10.7
2025,Spanish Grand Prix,SAI,16,10.47
2025,Spanish Grand Prix,SAI,17,6.21
2025,Spanish Grand Prix,SAI,18,2.18
2025,Spanish Grand Prix,SAI,19,1.41
2025,Spanish Grand Prix,SAI,20,0.72
2025,Spanish Grand Prix,HAD,1,1.06
2025,Spanish Grand Prix,HAD,2,2.5
2025,Spanish Grand Prix,HAD,3,3.43
2025,Spanish Grand Prix,HAD,4,8.37
2025,Spanish Grand Prix,HAD,5,0.72
2025,Spanish Grand Prix,HAD,6,2.97
2025,Spanish Grand Prix,HAD,7,1.78
2025,Spanish Grand Prix,HAD,8,2.1
2025,Spanish Grand Prix,HAD,9,6.12
2025,Spanish Grand Prix,HAD,10,4.01
2025,Spanish Grand Prix,HAD,11,4.75
2025,Spanish Grand Prix,HAD,12,8.66
2025,Spanish Grand Prix,HAD,13,5.23
2025,Spanish Grand Prix,HAD,14,8.05
2025,Spanish Grand Prix,HAD,15,13.2
2025,Spanish Grand Prix,HAD,16,10.32
2025,Spanish Grand Prix,HAD,17,9.71
2025,Spanish Grand Prix,HAD,18,3.26
2025,Spanish Grand Prix,HAD,19,2.95
2025,Spanish Grand Prix,HAD,20,0.84
2025,Spanish Grand Prix,RUS,1,0.17
2025,Spanish Grand Prix,RUS,2,19.14
2025,Spanish Grand Prix,RUS,3,47.69
2025,Spanish Grand Prix,RUS,4,3.65
2025,Spanish Grand Prix,RUS,5,1.6
2025,Spanish Grand Prix,RUS,6,4.22
2025,Spanish Grand Prix,RUS,7,5.57
2025,Spanish Grand Prix,RUS,8,7.79
2025,Spanish Grand Prix,RUS,9,5.64
2025,Spanish Grand Prix,RUS,10,0.25
2025,Spanish Grand Prix,RUS,11,0.23
2025,Spanish Grand Prix,RUS,12,2.44
2025,Spanish Grand Prix,RUS,13,0.19
2025,Spanish Grand Prix,RUS,14,0.34
2025,Spanish Grand Prix,RUS,15,0.1
2025,Spanish Grand Prix,RUS,16,0.1
2025,Spanish Grand Prix,RUS,17,0.8
2025,Spanish Grand Prix,RUS,18,0.06
2025,Spanish Grand Prix,RUS,19,0.03
2025,Spanish Grand Prix,RUS,20,0.0
2025,Spanish Grand Prix,PIA,1,0.42
2025,Spanish Grand Prix,PIA,2,3.09
2025,Spanish Grand Prix,PIA,3,7.74
2025,Spanish Grand Prix,PIA,4,2.54
2025,Spanish Grand Prix,PIA,5,4.32
2025,Spanish Grand Prix,PIA,6,2.97
2025,Spanish Grand Prix,PIA,7,0.61
2025,Spanish Grand Prix,PIA,8,4.2
2025,Spanish Grand Prix,PIA,9,6.77
2025,Spanish Grand Prix,PIA,10,16.52
2025,Spanish Grand Prix,PIA,11,6.53
2025,Spanish Grand Prix,PIA,12,4.75
2025,Spanish Grand Prix,PIA,13,4.89
2025,Spanish Grand Prix,PIA,14,8.55
2025,Spanish Grand Prix,PIA,15,0.8
2025,Spanish Grand Prix,PIA,16,0.49
2025,Spanish Grand Prix,PIA,17,11.96
2025,Spanish Grand Prix,PIA,18,12.54
2025,Spanish Grand Prix,PIA,19,0.31
2025,Spanish Grand Prix,PIA,20,0.0
2025,Spanish Grand Prix,BEA,1,0.93
2025,Spanish Grand Prix,BEA,2,2.54
2025,Spanish Grand Prix,BEA,3,4.26
2025,Spanish Grand Prix,BEA,4,7.36
2025,Spanish Grand Prix,BEA,5,0.83
2025,Spanish Grand Prix,BEA,6,2.57
2025,Spanish Grand Prix,BEA,7,1.92
2025,Spanish Grand Prix,BEA,8,2.55
2025,Spanish Grand Prix,BEA,9,8.26
2025,Spanish Grand Prix,BEA,10,5.01
2025,Spanish Grand Prix,BEA,11,4.4
2025,Spanish Grand Prix,BEA,12,8.95
2025,Spanish Grand Prix,BEA,13,5.01
2025,Spanish Grand Prix,BEA,14,7.57
2025,Spanish Grand Prix,BEA,15,12.65
2025,Spanish Grand Prix,BEA,16,11.26
2025,Spanish Grand Prix,BEA,17,7.67
2025,Spanish Grand Prix,BEA,18,2.96
2025,Spanish Grand Prix,BEA,19,2.43
2025,Spanish Grand Prix,BEA,20,0.87
