year,race,driver,fastest_lap,avg_lap,stints,pitstops,laps_completed,track_affinity,team_strength,momentum,final_position
2023,Monaco Grand Prix,OCO,76.528,77.844755,2,1,51.0,0.1,0.7,0.09999999000000101,4
2023,Monaco Grand Prix,NOR,77.844,78.712,1,0,49.0,0.1,0.75,0.09999999000000101,10
2023,Monaco Grand Prix,HAM,75.65,77.847551,2,1,51.0,0.1,0.9,0.2727271983471277,6
2023,Monaco Grand Prix,SAI,76.449,77.873673,2,1,51.0,0.1,0.85,0.11111109876543349,5
2023,Monaco Grand Prix,RUS,76.798,77.988081,1,0,51.0,0.1,0.9,0.29999991000002696,3
2023,Monaco Grand Prix,BOT,77.824,79.302755,1,0,50.0,0.1,0.4,0.09999999000000101,13
2023,Monaco Grand Prix,PIA,77.513,78.764808,1,0,50.0,0.1,0.75,0.09999999000000101,10
2023,Spanish Grand Prix,VER,76.33,79.207459,3,0,66.0,0.1,0.5,0.599999640000216,1
2023,Spanish Grand Prix,HAM,76.676,79.4767,3,0,66.0,0.1,0.9,0.2727271983471277,2
2023,Spanish Grand Prix,RUS,77.875,79.6111,3,0,66.0,0.1,0.9,0.29999991000002696,3
2023,Spanish Grand Prix,PER,76.666,79.584086,3,0,66.0,0.1,0.5,0.09999999000000101,4
2023,Spanish Grand Prix,SAI,78.403,79.81375,3,0,66.0,0.1,0.85,0.11111109876543349,5
2023,Spanish Grand Prix,STR,78.722,80.039916,3,0,66.0,0.1,0.8,0.09999999000000101,6
2023,Spanish Grand Prix,ALO,78.083,80.029775,3,0,66.0,0.1,0.8,0.21428566836735677,7
2023,Spanish Grand Prix,OCO,78.946,80.071741,3,0,66.0,0.1,0.7,0.09999999000000101,8
2023,Spanish Grand Prix,ZHO,78.753,80.013947,3,0,66.0,0.1,0.4,0.09999999000000101,10
2023,Spanish Grand Prix,GAS,78.375,79.950714,3,0,66.0,0.1,0.7,0.09999999000000101,11
2023,Spanish Grand Prix,LEC,78.357,79.892203,3,0,66.0,0.1,0.85,0.16666663888889352,12
2023,Spanish Grand Prix,TSU,78.904,80.05062,3,0,66.0,0.1,0.4,0.09999999000000101,9
2023,Spanish Grand Prix,PIA,78.679,80.177339,3,0,65.0,0.1,0.75,0.09999999000000101,13
2023,Spanish Grand Prix,DEV,78.594,80.135339,3,0,65.0,0.1,0.4,0.09999999000000101,14
2023,Spanish Grand Prix,HUL,78.776,79.788632,4,0,65.0,0.1,0.5,0.09999999000000101,15
2023,Spanish Grand Prix,ALB,79.133,80.103288,2,0,65.0,0.1,0.5,0.09999999000000101,16
2023,Spanish Grand Prix,NOR,77.182,79.950039,3,0,65.0,0.1,0.75,0.09999999000000101,17
2023,Spanish Grand Prix,MAG,78.069,80.026851,4,0,63.0,0.1,0.5,0.09999999000000101,17
2023,Spanish Grand Prix,BOT,78.242,80.406488,2,0,65.0,0.1,0.4,0.09999999000000101,19
2023,Spanish Grand Prix,SAR,79.247,80.32935,3,0,65.0,0.1,0.5,0.09999999000000101,20
2023,Canadian Grand Prix,VER,75.594,76.645419,3,1,70.0,0.1,0.5,0.599999640000216,1
2023,Canadian Grand Prix,GAS,76.425,77.595551,3,0,70.0,0.1,0.7,0.09999999000000101,13
2023,Canadian Grand Prix,PER,74.481,77.266847,3,0,70.0,0.1,0.5,0.09999999000000101,6
2023,Canadian Grand Prix,ALO,75.779,76.817177,3,1,70.0,0.1,0.8,0.21428566836735677,2
2023,Canadian Grand Prix,LEC,75.907,77.016266,2,0,70.0,0.1,0.85,0.16666663888889352,4
2023,Canadian Grand Prix,STR,76.564,77.623135,3,0,70.0,0.1,0.8,0.09999999000000101,10
2023,Canadian Grand Prix,SAR,78.437,79.05625,1,0,6.0,0.1,0.5,0.09999999000000101,18
2023,Canadian Grand Prix,MAG,76.126,77.909074,3,0,69.0,0.1,0.5,0.09999999000000101,17
2023,Canadian Grand Prix,DEV,76.656,78.08949,3,0,69.0,0.1,0.4,0.09999999000000101,18
2023,Canadian Grand Prix,TSU,76.666,77.679983,1,0,70.0,0.1,0.4,0.09999999000000101,14
2023,Canadian Grand Prix,ALB,76.917,77.96208,2,0,70.0,0.1,0.5,0.09999999000000101,7
2023,Canadian Grand Prix,ZHO,77.09,78.101263,3,0,69.0,0.1,0.4,0.09999999000000101,16
2023,Canadian Grand Prix,HUL,77.232,78.185586,3,1,69.0,0.1,0.5,0.09999999000000101,15
2023,Canadian Grand Prix,OCO,76.782,77.6062,3,0,70.0,0.1,0.7,0.09999999000000101,8
2023,Canadian Grand Prix,NOR,76.374,77.643465,3,0,70.0,0.1,0.75,0.09999999000000101,9
2023,Canadian Grand Prix,HAM,75.396,76.842557,3,0,70.0,0.1,0.9,0.2727271983471277,3
2023,Canadian Grand Prix,SAI,75.911,77.092639,2,0,70.0,0.1,0.85,0.11111109876543349,5
2023,Canadian Grand Prix,RUS,77.097,77.985911,2,0,53.0,0.1,0.9,0.29999991000002696,8
2023,Canadian Grand Prix,BOT,76.625,77.732101,2,1,70.0,0.1,0.4,0.09999999000000101,11
2023,Canadian Grand Prix,PIA,76.598,77.663305,3,0,70.0,0.1,0.75,0.09999999000000101,12
2023,Austrian Grand Prix,VER,67.012,69.308508,4,0,71.0,0.1,0.5,0.599999640000216,1
2023,Austrian Grand Prix,GAS,69.046,70.394416,3,0,71.0,0.1,0.7,0.09999999000000101,9
2023,Austrian Grand Prix,PER,68.111,69.794583,3,0,71.0,0.1,0.5,0.09999999000000101,3
2023,Austrian Grand Prix,ALO,69.108,70.134693,3,0,71.0,0.1,0.8,0.21428566836735677,6
2023,Austrian Grand Prix,LEC,68.82,69.859079,3,0,71.0,0.1,0.85,0.16666663888889352,2
2023,Austrian Grand Prix,STR,68.463,70.076105,4,0,71.0,0.1,0.8,0.09999999000000101,10
2023,Austrian Grand Prix,SAR,69.611,70.782716,3,0,70.0,0.1,0.5,0.09999999000000101,13
2023,Austrian Grand Prix,MAG,70.176,70.855433,2,0,70.0,0.1,0.5,0.09999999000000101,19
2023,Austrian Grand Prix,DEV,69.852,70.818625,3,0,70.0,0.1,0.4,0.09999999000000101,15
2023,Austrian Grand Prix,TSU,69.62,70.67038,3,0,70.0,0.1,0.4,0.09999999000000101,17
2023,Austrian Grand Prix,ALB,69.56,70.60161,3,0,71.0,0.1,0.5,0.09999999000000101,11
2023,Austrian Grand Prix,ZHO,69.786,70.7373,3,0,70.0,0.1,0.4,0.09999999000000101,14
2023,Austrian Grand Prix,HUL,71.066,71.2682,1,0,10.0,0.1,0.5,0.09999999000000101,8
2023,Austrian Grand Prix,OCO,69.797,70.743813,3,0,70.0,0.1,0.7,0.09999999000000101,12
2023,Austrian Grand Prix,NOR,68.739,70.160593,3,0,71.0,0.1,0.75,0.09999999000000101,5
2023,Austrian Grand Prix,HAM,69.16,70.265222,3,0,71.0,0.1,0.9,0.2727271983471277,7
2023,Austrian Grand Prix,SAI,68.88,69.908857,3,0,71.0,0.1,0.85,0.11111109876543349,4
2023,Austrian Grand Prix,RUS,69.283,70.38177,3,0,71.0,0.1,0.9,0.29999991000002696,8
2023,Austrian Grand Prix,BOT,69.94,70.57234,3,0,70.0,0.1,0.4,0.09999999000000101,16
2023,Austrian Grand Prix,PIA,69.862,70.783094,4,0,70.0,0.1,0.75,0.09999999000000101,18
