year,race,driver,position,probability
2023,Monaco,HAM,5,13.92
2023,Monaco,HAM,6,5.81
2023,Monaco,HAM,7,31.79
2023,Monaco,HAM,8,7.82
2023,Monaco,HAM,9,5.43
2023,Monaco,HAM,10,0.06
2023,Monaco,HAM,11,0.16
2023,Monaco,HAM,12,0.44
2023,Monaco,HAM,13,0.02
2023,Monaco,HAM,14,0.1
2023,Monaco,HAM,15,0.06
2023,Monaco,HAM,16,0.05
2023,Monaco,HAM,17,0.12
2023,Monaco,HAM,18,0.02
2023,Monaco,HAM,19,0.34
2023,Monaco,HAM,20,0.0
2023,Monaco,SAI,1,0.37
2023,Monaco,SAI,2,3.04
2023,Monaco,SAI,3,4.37
2023,Monaco,SAI,4,12.16
2023,Monaco,SAI,5,61.77
2023,Monaco,SAI,6,0.76
2023,Monaco,SAI,7,10.73
2023,Monaco,SAI,8,2.05
2023,Monaco,SAI,9,0.64
2023,Monaco,SAI,10,0.49
2023,Monaco,SAI,11,0.91
2023,Monaco,SAI,12,0.88
2023,Monaco,SAI,13,0.16
2023,Monaco,SAI,14,0.34
2023,Monaco,SAI,15,0.35
2023,Monaco,SAI,16,0.43
2023,Monaco,SAI,17,0.44
2023,Monaco,SAI,18,0.04
2023,Monaco,SAI,19,0.05
2023,Monaco,SAI,20,0.01
2023,Monaco,RUS,1,0.36
2023,Monaco,RUS,2,10.17
2023,Monaco,RUS,3,48.54
2023,Monaco,RUS,4,5.2
2023,Monaco,RUS,5,3.82
2023,Monaco,RUS,6,4.09
2023,Monaco,RUS,7,1.78
2023,Monaco,RUS,8,16.98
2023,Monaco,RUS,9,4.99
2023,Monaco,RUS,10,1.27
2023,Monaco,RUS,11,0.24
2023,Monaco,RUS,12,0.45
2023,Monaco,RUS,13,0.12
2023,Monaco,RUS,14,0.74
2023,Monaco,RUS,15,0.73
2023,Monaco,RUS,16,0.05
2023,Monaco,RUS,17,0.13
2023,Monaco,RUS,18,0.0
2023,Monaco,RUS,19,0.0
2023,Monaco,RUS,20,0.33
2023,Monaco,BOT,1,0.25
2023,Monaco,BOT,2,0.63
2023,Monaco,BOT,3,0.18
2023,Monaco,BOT,4,0.19
2023,Monaco,BOT,5,0.17
2023,Monaco,BOT,6,1.32
2023,Monaco,BOT,7,0.69
2023,Monaco,BOT,8,1.1
2023,Monaco,BOT,9,25.52
2023,Monaco,BOT,10,1.5
2023,Monaco,BOT,11,1.62
2023,Monaco,BOT,12,28.72
2023,Monaco,BOT,13,2.77
2023,Monaco,BOT,14,18.69
2023,Monaco,BOT,15,3.14
2023,Monaco,BOT,16,3.78
2023,Monaco,BOT,17,3.19
2023,Monaco,BOT,18,2.6
2023,Monaco,BOT,19,1.96
2023,Monaco,BOT,20,1.95
2023,Monaco,PIA,1,0.04
2023,Monaco,PIA,2,1.03
2023,Monaco,PIA,3,0.63
2023,Monaco,PIA,4,1.33
2023,Monaco,PIA,5,2.62
2023,Monaco,PIA,6,1.9
2023,Monaco,PIA,7,0.62
2023,Monaco,PIA,8,3.86
2023,Monaco,PIA,9,2.27
2023,Monaco,PIA,10,59.29
2023,Monaco,PIA,11,3.66
2023,Monaco,PIA,12,2.91
2023,Monaco,PIA,13,1.17
2023,Monaco,PIA,14,1.89
2023,Monaco,PIA,15,11.62
2023,Monaco,PIA,16,1.92
2023,Monaco,PIA,17,1.25
2023,Monaco,PIA,18,0.73
2023,Monaco,PIA,19,0.26
2023,Monaco,PIA,20,1.0
